番号,54,
名前,帕秋莉・諾蕾姫,
呼び名,帕秋莉,
基礎,体力,1000
基礎,気力,2000
基礎,勃起,1500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,1000
基礎,深度,3000
基礎,酒気,1000
素質,性別,1
素質,応答,-1;老實
素質,冷漠,1
素質,性的兴趣,-1;保守的
素質,痛覚,1;怕痛
素質,弄濕難易,1;容易濕
素質,習得速度,1;学習快
素質,舌頭靈活,1
素質,調合知識,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,Ａ感度,1;Ａ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,Ｍ感度,1;Ｍ敏感
素質,酒耐性,-1;不擅喝酒
素質,回復速度,-1;回復慢
素質,妖怪,1
素質,追加種族,2;魔法使
能力,Ｃ感覚,2
能力,百合属性,3

能力,清掃技能,0
能力,話術技能,3
能力,戦闘能力,4
能力,教養,5
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,0
素質,調合Lv,4

経験,Ｖ経験,5
経験,Ａ経験,1
経験,絶頂経験,5
経験,百合経験,100
経験,異常経験,2
経験,戦闘経験,40
経験,調合経験,200
フラグ,基本服装セット,154;服装
フラグ,地位,800;地位
フラグ,初期位置,311;開始位置
フラグ,来訪時間,720;12時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,1380;23時
フラグ,起床時間,480;8時
フラグ,經常去的地方,3
フラグ,自宅位置,370;大図書館
フラグ,移動率補正,-5
フラグ,移動節度,1
フラグ,来訪抑制値,10
フラグ,弾幕特能,161
フラグ,口調,0
フラグ,別顔有,1
相性,11,80;魔理沙
相性,16,150;蕾米莉亜
相性,59,110;小悪魔
CSTR,工作情報,読書研究
CSTR,職場,大図書館
CSTR,10,～不動的大図書館～　●種族：魔女　●能力：操縱火＋水＋木＋金＋土＋日＋月程度的能力
