番号,63,
名前,今泉影狼,
呼び名,影狼,
基礎,体力,2100;耐力
基礎,気力,1400;気力
基礎,勃起,1500;\
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,深度,3000
基礎,酒気,1800
素質,処女,1;処女
素質,性別,1;性別
素質,胆量,1;堅強
素質,性的兴趣,-1;保守的
素質,自己愛,-1;圧抑
素質,痛覚,-1;不怕痛
素質,汚臭耐性,-1;汚臭敏感
素質,快感応答,1;接受快感;快楽に坦率
素質,Ｖ感度,1;Ｖ敏感
素質,Ａ感度,1;Ａ敏感
素質,胸圍,1;巨乳
素質,月光浴,1
素質,動物耳,3;犬耳
素質,妖怪,6;妖獣
能力,Ｃ感覚,1;Ｃ感覚
能力,Ｂ感覚,1;Ｂ感覚
能力,従順,1;従順
能力,欲望,1;欲望
能力,受虐属性,1;受虐属性

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,1
能力,教養,1
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,2
素質,釣魚Lv,0
素質,採集Lv,2
素質,調合Lv,0

経験,放尿経験,10;放尿経験
経験,戦闘経験,10;戦闘経験
フラグ,基本服装セット,163;服装
フラグ,地位,300;地位
フラグ,初期位置,432;開始位置
フラグ,来訪時間,900;15時
フラグ,帰宅時間,1440;24時
フラグ,就寝時間,180;3時
フラグ,起床時間,600;10時
フラグ,經常去的地方,4;竹林
フラグ,自宅位置,430;斜角的竹林
フラグ,弾幕特能,272
フラグ,口調,0
フラグ,別顔有,1
相性,93,120;若鷺姫
CSTR,10,～竹林的狼人～　●種族：狼女　●能力：在満月之夜変身為狼程度的能力
