番号,8,
名前,北白河 千百合,
呼び名,千百合,
基礎,体力,2000
基礎,気力,1400
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2000
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,工作量,1200
基礎,深度,1000
基礎,酒気,1500
素質,処女,1
素質,性別,1
素質,応答,1;傲慢
素質,性的兴趣,1;好奇心
素質,喜歡引人注目,1
素質,自己愛,1;解放
素質,習得速度,1;学習快
素質,体型,-1;矮小体型
素質,Ｃ感度,-1;Ｃ鈍感
素質,胸圍,-1;貧乳
素質,鼓舞,1
素質,人类,6;外界人
能力,技巧,2
能力,百合属性,1

能力,清掃技能,0
能力,話術技能,2
能力,戦闘能力,4
能力,教養,3
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣魚Lv,1
素質,採集Lv,0
素質,調合Lv,4

フラグ,基本服装セット,108;服装
フラグ,地位,300;地位
フラグ,初期位置,44;開始位置
フラグ,神社在住,44
フラグ,自宅位置,60
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1140;19時
フラグ,就寝時間,60;1時
フラグ,起床時間,360;6時
フラグ,經常去的地方,-1
フラグ,移動節度,1
フラグ,弾幕特能,140
フラグ,口調,3
相性,9,200;教授
相性,11,80;魔理沙
CSTR,工作情報,研究　平日　6時～12時
CSTR,職場,研究室
CSTR,10,～超越時空的夢幻居民～
