番号,82,
名前,瑪愛露貝莉・赫恩,
呼び名,梅莉,
基礎,体力,1400
基礎,気力,1700
基礎,勃起,1500
基礎,情緒,1500
基礎,理性,1000
基礎,憤怒,1000
基礎,深度,3000
基礎,酒気,1200
素質,性別,1;女
素質,性的兴趣,1;好奇心
素質,開朗／阴郁,1;開朗
素質,難以越過的底線,1
素質,貞操,1;贞操重视
素質,羞恥心,1;害羞
素質,痛覚,1;怕痛
素質,習得速度,1;学習快
素質,汚臭耐性,-1;汚臭敏感
素質,倒錯的,1
素質,魅惑,1
素質,胸圍,1;巨乳
素質,人类,6;外界人
能力,従順,1
能力,百合属性,3

能力,清掃技能,2
能力,話術技能,2
能力,戦闘能力,0
能力,教養,3
能力,料理技能,1
能力,音楽技能,2
素質,伐採Lv,0
素質,釣魚Lv,0
素質,採集Lv,1
素質,調合Lv,1

経験,Ｖ経験,5
経験,絶頂経験,2
経験,百合経験,20
経験,異常経験,1
経験,会話経験,30
経験,学習経験,30
フラグ,基本服装セット,182;服装
フラグ,地位,100;地位
フラグ,初期位置,233;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,1320;22時
フラグ,起床時間,480;8時
フラグ,經常去的地方,2
フラグ,自宅位置,270;長屋街
フラグ,口調,0
相性,81,250;蓮子
CSTR,工作情報,寫報告　月末　19時～21時
CSTR,職場,長屋街
CSTR,10,　　　●種族：人類　●能力：能看見境界程度的能力
